"id","userId","timestamp","keyPressed","isCheating","riskScore","typingPattern","typingSpeed"
"183","10","2025-03-16 09:27:29.25"," ",,,,
"184","10","2025-03-16 09:27:29.264","i",,,,
"185","10","2025-03-16 09:27:29.345","s",,,,
"186","10","2025-03-16 09:27:29.379","i",,,,
"187","10","2025-03-16 09:27:29.454","s",,,,
"188","10","2025-03-16 09:27:29.604"," ",,,,
"189","10","2025-03-16 09:27:29.741","t",,,,
"190","10","2025-03-16 09:27:29.868","h",,,,
"191","10","2025-03-16 09:27:29.944","e",,,,
"192","10","2025-03-16 09:27:30.038"," ",,,,
"193","10","2025-03-16 09:27:30.248","s",,,,
"194","10","2025-03-16 09:27:30.352","o",,,,
"195","10","2025-03-16 09:27:30.751","l",,,,
"196","10","2025-03-16 09:27:31.049","u",,,,
"197","10","2025-03-16 09:27:31.203","t",,,,
"198","10","2025-03-16 09:27:31.39","i",,,,
"199","10","2025-03-16 09:27:31.552","o",,,,
"200","10","2025-03-16 09:27:31.765","n",,,,
"201","10","2025-03-16 09:27:31.899"," ",,,,
"202","10","2025-03-16 09:27:32.099","o",,,,
"203","10","2025-03-16 09:27:32.243","f",,,,
"204","10","2025-03-16 09:27:32.415"," ",,,,
"205","10","2025-03-16 09:27:35.272","t",,,,
"206","10","2025-03-16 09:27:35.344","w",,,,
"207","10","2025-03-16 09:27:36.204","o",,,,
"208","10","2025-03-16 09:27:36.598","s",,,,
"209","10","2025-03-16 09:27:36.601"," ",,,,
"210","10","2025-03-16 09:27:36.677","u",,,,
"211","10","2025-03-16 09:27:36.9","m",,,,
"212","10","2025-03-16 09:27:37.079"," ",,,,
"213","10","2025-03-16 09:27:37.274","p",,,,
"214","10","2025-03-16 09:27:37.44","r",,,,
"215","10","2025-03-16 09:27:37.537","o",,,,
"216","10","2025-03-16 09:27:37.778","b",,,,
"217","10","2025-03-16 09:27:37.912","l",,,,
"218","10","2025-03-16 09:27:38.025","e",,,,
"219","10","2025-03-16 09:27:38.201","m",,,,
"220","10","2025-03-16 09:27:38.362"," ",,,,
"221","10","2025-03-16 09:27:39.994","w",,,,
"222","10","2025-03-16 09:27:40.162","i",,,,
"223","10","2025-03-16 09:27:40.357"," ",,,,
"224","10","2025-03-16 09:27:40.417","t",,,,
"225","10","2025-03-16 09:27:40.513","h",,,,
"226","10","2025-03-16 09:27:40.626","p",,,,
"227","10","2025-03-16 09:27:40.956","y",,,,
"228","10","2025-03-16 09:27:41.079","t",,,,
"229","10","2025-03-16 09:27:41.572","h",,,,
"230","10","2025-03-16 09:27:41.682","o",,,,
"231","10","2025-03-16 09:27:41.944","n",,,,
"232","10","2025-03-16 09:27:42.28","Shift",,,,
